name,method,param,exact_match_strict,exact_match_flex,effective_bits,compression_ratio,n_samples
baseline,baseline,0,0.8498862774829417,0.8483699772554966,32.0,1.0,2638
hadamard_q4,hadamard_quant,4,0.3631539044730856,0.3896891584533737,4.0,8.0,2638
q4_per_head,quant,4,0.8066717210007581,0.8013646702047005,4.0,8.0,2638
q8_per_head,quant,8,0.8544351781652767,0.8514025777103866,8.0,4.0,2638
svd_r1,svd,1,0.7323730098559514,0.711144806671721,0.501953125,63.750972762645915,2638
svd_r2,svd,2,0.8278999241849886,0.8218347232752085,1.00390625,31.875486381322958,2638
svd_r4,svd,4,0.8498862774829417,0.8468536770280516,2.0078125,15.937743190661479,2638
svd_r8,svd,8,0.8627748294162244,0.8612585291887794,4.015625,7.968871595330739,2638
svd_r12,svd,12,0.8476118271417741,0.8476118271417741,6.0234375,5.312581063553826,2638
svd_r16,svd,16,0.8521607278241091,0.8498862774829417,8.03125,3.9844357976653697,2638
svd_r24,svd,24,0.8620166793025019,0.8612585291887794,12.046875,2.656290531776913,2638
